t,x,y,z
11.844,-0.0605,0.0372,-0.2723
11.864,-0.0581,0.0341,-0.2503
11.884,-0.0574,0.033,-0.2358
11.904,-0.0548,0.0333,-0.2245
11.924,-0.0517,0.0334,-0.2132
11.944,-0.0478,0.0327,-0.2028
11.964,-0.0478,0.0327,-0.2028
11.984,-0.0478,0.0327,-0.2028
12.004,-0.0343,0.0344,-0.1737
12.023,-0.03,0.0362,-0.1666
12.043,-0.0274,0.0392,-0.1608
12.064,-0.024,0.043,-0.1597
12.084,-0.024,0.043,-0.1597
12.103,-0.0212,0.0505,-0.1573
12.127,-0.0212,0.0505,-0.1573
12.147,-0.0174,0.0574,-0.1581
12.167,-0.0174,0.0574,-0.1581
12.184,-0.0123,0.0645,-0.1576
12.204,-0.0092,0.0686,-0.1572
12.224,-0.007,0.0712,-0.157
12.244,-0.0036,0.0745,-0.1565
12.264,-0.0036,0.0745,-0.1565
12.29,-0.0036,0.0745,-0.1565
12.3101,0.0068,0.0867,-0.1526
12.3301,0.0105,0.0916,-0.1501
12.3441,0.0142,0.0966,-0.1469
12.3641,0.0175,0.1012,-0.1428
12.3841,0.021,0.1055,-0.1381
12.4041,0.0244,0.1087,-0.1347
12.4241,0.0278,0.113,-0.131
12.4431,0.0306,0.1151,-0.1284
12.4641,0.0337,0.1168,-0.1249
12.4921,0.0367,0.1185,-0.1206
12.5121,0.0396,0.12,-0.1153
12.5321,0.0421,0.1218,-0.1083
12.5441,0.0446,0.1226,-0.1011
12.5641,0.0469,0.1245,-0.0925
12.5841,0.0486,0.1258,-0.0839
12.6041,0.052,0.1322,-0.0857
12.6311,0.052,0.1322,-0.0857
12.6511,0.0549,0.139,-0.0905
12.6641,0.0549,0.139,-0.0905
12.6841,0.0549,0.139,-0.0905
12.7031,0.0563,0.1414,-0.0953
12.7241,0.0555,0.141,-0.0925
12.7441,0.0545,0.1391,-0.0942
12.7641,0.0518,0.1369,-0.0898
12.7851,0.051,0.1362,-0.0884
12.8061,0.0495,0.1339,-0.0915
12.8261,0.0474,0.1334,-0.0881
12.8461,0.0474,0.1334,-0.0881
12.8661,0.044,0.1312,-0.0894
12.8841,0.0422,0.1313,-0.0865
12.9041,0.0398,0.1307,-0.0842
12.9241,0.0398,0.1307,-0.0842
12.9441,0.0379,0.1319,-0.0841
12.9651,0.0379,0.1319,-0.0841
12.9851,0.037,0.1331,-0.0822
13.0071,0.0368,0.1326,-0.083
13.0271,0.0368,0.1326,-0.083
13.0471,0.0368,0.1326,-0.083
13.0641,0.0368,0.1326,-0.083
